accession	taxid	organism	
LC033879.1	1638629	Nosema sp. FCG-1464	
LC033878.1	1638628	Nosema sp. FCG-1463	
LC033877.1	1638627	Nosema sp. FCG-1462	
LC033876.1	1638626	Nosema sp. FCG-1461	
LC033875.1	1638625	Nosema sp. FCG-1460	
LC033874.1	1638624	Nosema sp. FCG-1459	
KP262018.1	1647996	Glugea sp. LM-2015	
KJ494249.1	1492849	Nosema sp. MC	
KP759285.1	546761	uncultured Enterocytozoonidae	
KC855558.1	1465608	Amblyospora sp. L2	
KM001609.1	1593793	Nosema sp. CP JX-2014	
KM001608.1	1593793	Nosema sp. CP JX-2014	
KM001607.1	1593793	Nosema sp. CP JX-2014	
KM001606.1	1593793	Nosema sp. CP JX-2014	
KM001605.1	1593793	Nosema sp. CP JX-2014	
JX123133.1	42399	Vittaforma corneae	
JX123132.1	42399	Vittaforma corneae	
JX123131.1	42399	Vittaforma corneae	
AB860144.1	481677	Nosema thomsoni	
KJ755827.1	1530372	Endoreticulatus poecilimonae	
KJ652549.1	1515092	Ameson metacarcini	
KJ652548.1	1515092	Ameson metacarcini	
KJ652547.1	1515092	Ameson metacarcini	
KJ652546.1	1515092	Ameson metacarcini	
JX268035.1	1329970	Nosema pieriae	
KJ494248.1	1492848	Nosema sp. Dp	
FJ005052.1	944018	Nematocida sp. 1 ERTm2	
KF135645.1	1295219	Enterospora nucleophila	
KF135644.1	1295219	Enterospora nucleophila	
KF135643.1	1295219	Enterospora nucleophila	
KF135642.1	1295219	Enterospora nucleophila	
KF135641.1	1295219	Enterospora nucleophila	
JX101917.1	1295219	Enterospora nucleophila	
KF830721.1	1457355	Pleistophora sp. LM-2014	
JF960137.1	1049365	Unikaryonidae sp. JI-2011	
KF110991.1	1393010	Takaokaspora nipponicus	
