accession	taxid	organism	
AF185991.1	54411	Nucleospora salmonis	
AF185990.1	54411	Nucleospora salmonis	
AF185989.1	54411	Nucleospora salmonis	
AF185988.1	54411	Nucleospora salmonis	
AF185987.1	54411	Nucleospora salmonis	
AY009115.1	141905	Endoreticulatus bombycis	
AF238239.1	126154	Nosema sp. 'S. litura'	
AF151529.1	96063	Microsporidium prosopium	
AJ011833.1	83296	Nosema granulosis	
AF124331.1	33700	Vairimorpha sp.	
AF025685.1	67759	Amblyospora connecticus	
AF056016.1	73782	Glugea anomala	
AF056015.1	75296	Glugea stephani	
AF056014.1	75295	Glugea americanus	
AF056013.1	51541	Spraguea lophii	
U11046.1	42399	Vittaforma corneae	
U26533.1	40302	Nosema ceranae	
U26534.1	35231	Nosema apis	
X98469.1	6035	Encephalitozoon cuniculi	
X98470.1	6035	Encephalitozoon cuniculi	
X98467.1	6035	Encephalitozoon cuniculi	
U10883.1	54411	Nucleospora salmonis	
U27359.1	40303	Nosema oulemae	
U15987.1	36737	Glugea atherinae	
U11047.1	35228	Nosema vespula	
L19567.1	58839	Encephalitozoon intestinalis	
